impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-144060,A658139,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2397592,LOST,Chapo,Dog,Over 1 year<p/>,Male,American Pit Bull Terrier,Unknown,"Feb 16, 2022",Date Lost,HOQUIAM  AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2397592,Image Copyright HLP Inc. 2022,"Description: mixed with mastiff, so very muscular. tan short coat, with a black muzzle<p/>Age: Over 1 year<p/>Location Lost: Hoquiam Ave , Renton WA  98059<p/>Lost Date: 2022-02-16<p/>",
K22-143868,A657484,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2393058,LOST,Arrow,Dog,Over 1 year<p/>,Male,Siberian Husky,Brown,"Feb 07, 2022",Date Lost,18800 block of  32ND AVE S,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2393058,Image Copyright HLP Inc. 2022,"Description: Is a Male Brown Siberia husky it his a Blue/ Brown eye also have a blue collar with an old phone number and It name Arrow!<p/>Age: Over 1 year<p/>Location Lost: 18802 32nd ave s SeaTac wa , Seattle WA  98188<p/>Lost Date: 2022-02-07<p/>",
K22-143344,A656272,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2383039,LOST,Winston,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Black,"Jan 14, 2022",Date Lost,188TH  AND 37TH ON ANGLE LAKE IN SEATAC,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2383039,Image Copyright HLP Inc. 2022,"Description: Winston is about 16 pounds, almost 5 years old. He is black with Carmel tones. <p/>Age: Over 1 year<p/>Location Lost: 188th and 37th on Angle Lake in Seatac , Seattle WA  98188<p/>Lost Date: 2022-01-14<p/>",
K22-143900,A657596,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2393704,LOST,Loki,Dog,Over 1 year<p/>,Male,Siberian Husky,Black,"Feb 08, 2022",Date Lost,S  188TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2393704,Image Copyright HLP Inc. 2022,"Description: Black and white <p/>Age: Over 1 year<p/>Location Lost: S 188th St, Seattle WA  98188<p/>Lost Date: 2022-02-08<p/>",
K22-143265,A656107,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2381171,LOST,Cooper,Dog,Over 1 year<p/>,Unknown,Labrador Retriever,Black,"Jan 13, 2022",Date Lost,S  216TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2381171,Image Copyright HLP Inc. 2022,"Description: Black with white patch on chest, unfixed, brown eyes. Beige Kong harness <p/>Age: Over 1 year<p/>Location Lost: S 216th street , Kent WA  98032<p/>Lost Date: 2022-01-13<p/>",
K22-143919,A657648,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2394102,LOST,Deborah Rowe,Cat,Over 1 year<p/>,Female,European Shorthair,Unknown,"Feb 05, 2022",Date Lost,120TH  AVE SE AND COAL CREEK PARKWAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2394102,Image Copyright HLP Inc. 2022,"Description: She is a grey tabby and has green eyes. She has a rough patch of fur on her back.<p/>Age: Over 1 year<p/>Location Lost: 120th ave se and Coal Creek parkway, Bellevue WA  98006<p/>Lost Date: 2022-02-05<p/>",
K22-144011,A657905,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657905,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tiger Lily,Dog,7 MONTHS,Spayed Female,Labrador Retriever / Mix,Red / White,"Feb 14, 2022",Received on,1800 block of  CENTRAL PL S,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657905,Image Copyright HLP Inc. 2022,"Received on: 2022-02-14<p/> Found Near: 1800 block of  CENTRAL PL S<p/> Description: Red / White Spayed Female Labrador Retriever / Mix Dog<p/> Age: 7 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K22-143780,A657274,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2391413,LOST,Tater Tot,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jan 29, 2022",Date Lost,88TH  AVE W AND 234TH ST SW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2391413,Image Copyright HLP Inc. 2022,"Description: Orange tabby with light green eyes.  Average sized, but a little round in the middle.<p/>Age: Over 1 year<p/>Location Lost: 88th Ave W and 234th St SW, Edmonds WA  98026<p/>Lost Date: Jan 29 202<p/>",
K22-143991,A657866,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657866,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Emmy,Barn Cat,1 YEAR 6 MONTHS,Spayed Female,Domestic Shorthair,Tortie / Brn Tabby,"Feb 13, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://kingcounty.gov/~/media/depts/regional-animal-services/images/All-Images/barn-cat.ashx,Image Copyright HLP Inc. 2022,"Received on: 2022-02-13<p/> Description: Tortie / Brn Tabby<p/>  Spayed Female Domestic Shorthair Barn Cat<p/> Age: 1 YEAR 6 MONTHS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",
K22-143591,A656913,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2388231,LOST,Enzo,Cat,Under 1 year<p/>,Male,Russian Blue,Unknown,"Jan 14, 2022",Date Lost,MAY  VALLEY ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2388231,Image Copyright HLP Inc. 2022,"Description: 11 week old adorable kitten with distinct markings on his arms and no<p/>Age: Under 1 year<p/>Location Lost: May valley road , Issaquah WA  98027<p/>Lost Date: 2022-01-14<p/>",
K21-142927,A655287,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A655287,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Avatar,Dog,4 YEARS 1 MONTH,Neutered Male,Pit Bull,Blue / White,"Dec 30, 2021",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655287,Image Copyright HLP Inc. 2022,"Received on: 2021-12-30<p/> Description: Blue / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 4 YEARS 1 MONTH<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Avatar and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 12/30/21.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"".<p/><p/>I am an independent dog who likes to do my own thing and because of my sensitivity to handling I would like an adult only home where someone will take the time to get to know me.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K22-144034,A433060,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A433060,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Stryker,Dog,10 YEARS 11 MONTHS,Neutered Male,Dutch Sheepdog,Bl Brindle / Black,"Feb 15, 2022",Received on,25800 block of  108TH AVE SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A433060,Image Copyright HLP Inc. 2022,"Received on: 2022-02-15<p/> Found Near: 25800 block of  108TH AVE SE<p/> Description: Bl Brindle / Black Neutered Male Dutch Sheepdog Dog<p/> Age: 10 YEARS 11 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K22-143885,A657550,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2393516,In Public Home,,Dog,Unknown<p/>,Unknown,Dandie Dinmont,Unknown,"Feb 07, 2022",Date Found,SE  66TH ST,BEL,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2393516,Image Copyright HLP Inc. 2022,"Description: Small terrier that looks like it might be a Dandie Dinmont.  Very rough grooming.<p/>Age: Unknown<p/>Found Near: SE 66th St, Bellevue, Bellevue WA  98006<p/>Found Date: 2022-02-07<p/>",
K22-143578,A656876,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2387698,LOST,Koda,Dog,Under 1 year<p/>,Male,Australian Shepherd,Unknown,"Jan 25, 2022",Date Lost,S  228TH ST AND RIVERVIEW BLVD S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2387698,Image Copyright HLP Inc. 2022,"Description: He is an Australian Shepard and golden retriever mix. He has one blue eye and one brown eye. He has floppy ears. Has a brown spot on his back near his butt. Kinda has coloring more toward a Australian Shepard. <p/>Age: Under 1 year<p/>Location Lost: S 228th st and Riverview blvd s, Kent WA  98031<p/>Lost Date: 2022-01-25<p/>",
K22-143559,A656836,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2387268,LOST,Mowgli,Cat,Unknown<p/>,Female,American Shorthair,Unknown,"Jan 20, 2022",Date Lost,KENT  KANGLEY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2387268,Image Copyright HLP Inc. 2022,"Description: She is two a tabby well fed and spade  I saw her on your sight A656830<p/>Age: Unknown<p/>Location Lost: Kent kangley , Maple Valley WA  98038<p/>Lost Date: 2022-01-20<p/>",
K22-143976,A657842,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A657842,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rikku,Dog,1 YEAR,Spayed Female,Doberman Pinscher / Mix,Black / Brown,"Feb 12, 2022",Received on,26100 block of  185TH CT SE,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657842,Image Copyright HLP Inc. 2022,"Received on: 2022-02-12<p/> Found Near: 26100 block of  185TH CT SE<p/> Description: Black / Brown Spayed Female Doberman Pinscher / Mix Dog<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-144041,A658077,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A658077,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Neutered Male,Siberian Husky / Mix,White,"Feb 15, 2022",Received on,14000 block of  SE 197TH PL,RENTON,WA,98058,KING COUNTY,47.425147,-122.15427,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A658077,Image Copyright HLP Inc. 2022,"Received on: 2022-02-15<p/> Found Near: 14000 block of  SE 197TH PL<p/> Description: White Neutered Male Siberian Husky / Mix Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-143836,A657415,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2392414,LOST,Red Schmidt,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Black,"Feb 02, 2022",Date Lost,21400 block of  197TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2392414,Image Copyright HLP Inc. 2022,"Description: Red is a long, black and white cat, and he weighs about 22 to 25 lbs. <p/>Age: Over 1 year<p/>Location Lost: 21410 197th Ave SE, Maple Valley WA  98038<p/>Lost Date: 2022-02-02<p/>",
K22-143526,A656774,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2386722,LOST,Muy T -Oo Ph,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Jan 25, 2022",Date Lost,S  256TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2386722,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: S 256th, Kent WA  98032<p/>Lost Date: 2022-01-25<p/>",
K22-143150,A655755,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2378750,LOST,Baby Bear,Cat,Under 1 year<p/>,Male,Domestic Mediumhair,Black,"Jan 08, 2022",Date Lost,21600 block of  SE 239TH ST,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2378750,Image Copyright HLP Inc. 2022,"Description: 6 months old, NOT neutered, red collar with a bell on it, he is solid black, no visible white on him, except one white whisker/hair over his left eye. As a kitten, he had his tail broken, so the last 2 inches of his tail will bend at a 90 degree angle. He does not like strangers.<p/>Age: Under 1 year<p/>Location Lost: 21628 Southeast 239th Street, Maple Valley WA  98038<p/>Lost Date: 2022-01-08<p/>",
K22-144042,A658084,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2396924,LOST,Rascal,,Over 1 year<p/>,Male,,Unknown,"Feb 15, 2022",Date Lost,72ND  AVE S &181ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2396924,Image Copyright HLP Inc. 2022,"Description: Grey and white Cockatiel with orange cheek circles and yellow feathers on his head.  He is friendly and will come to people.  Loves chips and pasta.  Carb addict.  Very vocal<p/>Age: Over 1 year<p/>Location Lost: 72nd Ave S &181st, Kent WA  98032<p/>Lost Date: 2022-02-15<p/>",
K22-143701,A657071,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389879,LOST,Bruno,Dog,Over 1 year<p/>,Male,Boston Terrier,Black,"Jan 31, 2022",Date Lost,217TH  ST AND 124TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389879,Image Copyright HLP Inc. 2022,"Description: Black and white. One sock on leg is longer than other. Does not have collar on<p/>Age: Over 1 year<p/>Location Lost: 217th ST and 124th ST, Kent WA  98031<p/>Lost Date: 2022-01-31<p/>",
K22-144049,A658110,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A658110,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Radko,Dog,5 YEARS 5 MONTHS,Neutered Male,Catahoula Leopard Hound / Mix,Tricolor,"Feb 16, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A658110,Image Copyright HLP Inc. 2022,"Received on: 2022-02-16<p/> Description: Tricolor<p/>  Neutered Male Catahoula Leopard Hound / Mix Dog<p/> Age: 5 YEARS 5 MONTHS<p/> Adoption Fee: $250.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Radko and I am available for adoption.<p/><p/>I was brought in by my previous owner on 02/17/22 because they could no longer care for me. My previous owner described me as shy and loving.<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/>Because of my shy nature, I would do best in a calm, quiet home with older children and no other animals. <p/><p/>I have to admit, I eat squeakers from toys and should never be provided with toys that have squeakers in them. <p/><p/>My caregivers have observed that I DO NOT get along with other dogs. I need to be the only dog in my new home.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/>",BLUE
K22-143614,A656947,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2388566,In Public Home,Parker Toole,,Unknown<p/>,Male,,Unknown,"Jan 29, 2022",Date Found,200TH  AND 119TH AVENUE SOUTHEAST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2388566,Image Copyright HLP Inc. 2022,"<p/>Age: Unknown<p/>Found Near: 200th and  119th Avenue Southeast, Seattle WA  98107<p/>Found Date: 2022-01-29<p/>",
